place_id,name,address,latitude,longitude,rating,user_ratings_total,business_status,types,brand
ChIJs5b7O6jNpw0R37mszJzTyLo,TotalEnergies LISSASFA,"Route D'el Jadida, El Jadida",33.5731104,-7.589843399999999,4.5,2.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
ChIJRbCf2vHSpw0RvKj4eJH6ML0,Shell,"Ait Ishaq, Boulevard Aïn Taoujtate, الدار البيضاء",33.5731104,-7.589843399999999,4.7,3.0,OPERATIONAL,"gas_station, point_of_interest, store, establishment",Shell
ChIJQxU-8-PNpw0ROmJq-DCqIR0,OLA ENERGY 2001 CASA,"Bd Moulay Sliman, Casablanca",33.57313600000001,-7.589772000000002,,,OPERATIONAL,"gas_station, point_of_interest, establishment",Ola Energy
ChIJabp_bgDNpw0RL7Txh7AdF0k,Afriquia AL FIDA,"Boulevard Mohammed VI, Casablanca",33.5721472,-7.597715400000002,3.4,5.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJffQ24yfNpw0RHYVehw3zuDw,Afriquia GARE ROUTIERE OULED ZIANE,"Gare Routière, Rue 7, الدار البيضاء",33.5737143,-7.5883532,3.0,3.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJ16XKfafNpw0RPpbISm4g_zE,OLA ENERGY KOREA,"84 Place Sraghna, Casablanca",33.57001579999999,-7.602105799999998,,,OPERATIONAL,"gas_station, point_of_interest, establishment",Ola Energy
ChIJQ6z_d1HNpw0RmJgVp73qmiY,Shell,"296 Boulevard El Fida, Casablanca",33.56914310000001,-7.6032721,4.0,34.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Shell
ChIJ5Qox9uozpg0R7KWEpyc7e1o,Station Petrom,"HC4G+9WQ, Casablanca",33.55595239999999,-7.5726525,4.0,8.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petrom
ChIJIQwAjNbNpw0R-5pUBiT2PWk,Shell,"Route des Oulad Ziane, Casablanca",33.5770986,-7.5878086,2.8,18.0,OPERATIONAL,"gas_station, cafe, restaurant, food, point_of_interest, store, establishment",Shell
ChIJH4Vi5QMzpg0RJX0LhZfpVk8,TotalEnergies VILLE NOUVELLE,"Cité Nouvelle de, Av. du 10 Mars 1982 Tranche D, Casablanca",33.5567056,-7.559630199999999,3.8,4.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
ChIJqZlFOY4zpg0RmHP9yzqjW54,Station Service Petromin Oils,Casablanca,33.5652929,-7.5568071,3.5,63.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petromin
ChIJERHrBiYzpg0RO6712Lzqfrc,OLA ENERGY 2000 SIDI OTHMANE,"Boulevard Driss EL Harti, Casablanca",33.554055,-7.562783000000001,3.7,96.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Ola Energy
ChIJN3eW-87Mpw0RhLhzeWLs_zo,Shell Station Service Flahi,"Avenue Khaider Ben Abdellah, Av C, Dar-el-Beida",33.5738118,-7.554172599999999,4.0,256.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Shell
ChIJdyFhqsjMpw0RFxUG92IaiiM,Oilybya,"HCGX+V8Q, Casablanca",33.5772074,-7.5516526,4.5,6.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Ola Energy
ChIJoRiw-ynNpw0Rnf8t3dCTSfQ,OLA ENERGY MABROUKA,"Km 6, 8 Route de Ben Sliman, Casablanca",33.577333,-7.551703,1.0,1.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Ola Energy
ChIJwdR4ZsjMpw0RF1Ytlc1JwAk,Total service station Mdakra,"Boulevard Oqba Bnou Nafii, Casablanca",33.5763401,-7.5487707,3.7,164.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
ChIJo7IoVdkypg0RTQfBW25bf_g,Total Petrol Station City Djemaâ,"Boulevard Commandant Driss Al Harti, Casablanca",33.5482294,-7.5733595,3.6,172.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
ChIJ7SJTLFIzpg0RaoWrqnhW_Co,Station Service Petrofib,"HF68+XQ3, Avenue Abdelkader Essahraoui, Casablanca",33.56239709999999,-7.533083299999999,3.7,52.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petrofib
